RMSE IEKF|100 : 16.456 \pm 0.428
RMSE IEKF|50 : 16.351 \pm 0.420
RMSE IEKF|10 : 16.313 \pm 0.418
RMSE IEKF|3 : 15.782 \pm 0.745
RMSE IEKF|25 : 15.394 \pm 0.463
RMSE IEKF|5 : 15.321 \pm 0.493
RMSE Adadelta MAP|5 : 203.199 \pm 310.195
RMSE Adadelta MAP|50 : 149.584 \pm 174.515
RMSE Adadelta MAP|25 : 140.505 \pm 175.569
RMSE Adadelta MAP|10 : 117.279 \pm 175.571
RMSE Adadelta MAP|3 : 46.154 \pm 15.583
RMSE Adadelta MAP|1 : 38.671 \pm 20.498
RMSE EKF : 34.909 \pm 2.732
RMSE Adadelta MAP|100 : 23.152 \pm 3.973
RMSE Adam MAP|10|1.0|0.9|0.9 : 20.422 \pm 0.736
RMSE Adam MAP|25|1.0|0.9|0.9 : 19.482 \pm 0.603
RMSE GD MAP|100|0.05 : 18.205 \pm 0.394
RMSE GD MAP|50|0.1 : 18.202 \pm 0.394
RMSE Adam MAP|25|0.5|0.9|0.9 : 18.043 \pm 0.751
RMSE Adam MAP|50|1.0|0.9|0.9 : 17.809 \pm 0.700
RMSE Adam MAP|25|1.0|0.1|0.1 : 17.693 \pm 0.714
RMSE RMSprop MAP|50|1.0|0.1 : 17.159 \pm 0.826
RMSE RMSprop MAP|100|1.0|0.1 : 17.102 \pm 0.803
RMSE GD MAP|100|0.1 : 16.879 \pm 0.505
RMSE RMSprop MAP|25|1.0|0.1 : 16.824 \pm 0.634
RMSE RMSprop MAP|50|1.0|0.5 : 16.780 \pm 0.752
RMSE Adam MAP|50|0.5|0.9|0.9 : 16.765 \pm 0.736
RMSE RMSprop MAP|100|1.0|0.5 : 16.518 \pm 0.732
RMSE GD MAP|50|0.05 : 16.465 \pm 0.457
RMSE GD MAP|25|0.1 : 16.415 \pm 0.470
RMSE Adam MAP|50|1.0|0.1|0.1 : 16.357 \pm 0.756
RMSE Adam MAP|100|1.0|0.1|0.1 : 16.336 \pm 0.709
RMSE Adam MAP|100|1.0|0.9|0.9 : 15.990 \pm 0.746
RMSE Adam MAP|100|0.5|0.9|0.9 : 15.354 \pm 0.786
RMSE RMSprop MAP|25|1.0|0.5 : 14.523 \pm 0.731
RMSE RMSprop MAP|100|0.5|0.1 : 14.357 \pm 0.797
RMSE RMSprop MAP|50|0.5|0.1 : 14.305 \pm 0.795
RMSE RMSprop MAP|50|0.5|0.5 : 14.271 \pm 0.763
RMSE RMSprop MAP|100|0.5|0.5 : 14.196 \pm 0.788
RMSE RMSprop MAP|10|1.0|0.9 : 14.149 \pm 0.686
RMSE Adam MAP|100|1.0|0.5|0.5 : 13.179 \pm 0.809
RMSE Adam MAP|25|1.0|0.5|0.5 : 13.137 \pm 0.830
RMSE RMSprop MAP|25|0.5|0.9 : 13.006 \pm 0.715
RMSE Adam MAP|50|1.0|0.5|0.5 : 12.951 \pm 0.839
RMSE RMSprop MAP|5|1.0|0.9 : 12.854 \pm 0.505
RMSE RMSprop MAP|25|0.5|0.1 : 12.558 \pm 0.723
RMSE RMSprop MAP|3|0.5|0.9 : 12.463 \pm 0.246
RMSE Adam MAP|100|0.5|0.1|0.1 : 12.412 \pm 0.869
RMSE Adam MAP|50|0.5|0.1|0.1 : 12.409 \pm 0.870
RMSE Adagrad MAP|100|0.1 : 12.366 \pm 0.250
RMSE Adam MAP|25|0.5|0.1|0.1 : 12.179 \pm 0.760
RMSE Adagrad MAP|50|1.0 : 12.106 \pm 0.693
RMSE Adam MAP|1|0.01|0.1|0.1 : 12.070 \pm 0.176
RMSE Adam MAP|1|0.01|0.5|0.5 : 12.070 \pm 0.176
